arquivo,status_cliente,needs_equalization,requires_human_review,media_original,std_original,media_final,std_final,separabilidade_otsu,limiar_otsu
WhatsApp Image 2026-03-13 at 17.04.45 (1).jpeg,ideal,False,False,125.9993,56.2958,125.9993,56.2958,0.7099,96
WhatsApp Image 2026-03-13 at 17.04.45 (2).jpeg,ideal,False,False,127.5454,51.3047,127.5454,51.3047,0.7189,115
WhatsApp Image 2026-03-13 at 17.04.45 (3).jpeg,ideal,False,False,137.3985,54.3496,137.3985,54.3496,0.7642,99
WhatsApp Image 2026-03-13 at 17.04.45.jpeg,ideal,False,False,124.0470,52.4878,124.0470,52.4878,0.7126,112
WhatsApp Image 2026-03-13 at 17.04.46 (1).jpeg,ideal,False,False,123.7704,46.6185,123.7704,46.6185,0.7101,92
WhatsApp Image 2026-03-13 at 17.04.46 (2).jpeg,ideal,False,False,139.0954,37.2374,139.0954,37.2374,0.6328,119
WhatsApp Image 2026-03-13 at 17.04.46 (3).jpeg,ideal,False,False,125.8756,56.0417,125.8756,56.0417,0.7515,111
WhatsApp Image 2026-03-13 at 17.04.46 (4).jpeg,ideal,False,False,145.5577,51.0725,145.5577,51.0725,0.7404,123
WhatsApp Image 2026-03-13 at 17.04.46 (5).jpeg,ideal,False,False,111.4557,42.4297,111.4557,42.4297,0.7273,89
WhatsApp Image 2026-03-13 at 17.04.46 (6).jpeg,ideal,False,False,118.7723,52.8991,118.7723,52.8991,0.6936,110
WhatsApp Image 2026-03-13 at 17.04.46.jpeg,ideal,False,False,123.0627,56.2431,123.0627,56.2431,0.8110,93
WhatsApp Image 2026-03-13 at 17.04.47 (1).jpeg,ideal,False,False,76.8177,59.7790,76.8177,59.7790,0.7583,78
WhatsApp Image 2026-03-13 at 17.04.47 (2).jpeg,ideal,False,False,95.9594,55.0647,95.9594,55.0647,0.6874,98
WhatsApp Image 2026-03-13 at 17.04.47 (3).jpeg,ideal,False,False,96.3091,56.6896,96.3091,56.6896,0.7211,92
WhatsApp Image 2026-03-13 at 17.04.47 (4).jpeg,ideal,False,False,94.2142,56.0896,94.2142,56.0896,0.7527,82
WhatsApp Image 2026-03-13 at 17.04.47 (5).jpeg,ideal,False,False,106.4968,57.4454,106.4968,57.4454,0.6742,100
WhatsApp Image 2026-03-13 at 17.04.47.jpeg,ideal,False,False,77.1333,61.5477,77.1333,61.5477,0.7482,80
WhatsApp Image 2026-03-13 at 17.04.48 (1).jpeg,ideal,False,False,117.7010,52.7376,117.7010,52.7376,0.7636,101
WhatsApp Image 2026-03-13 at 17.04.48 (3).jpeg,ideal,False,False,73.1639,60.0073,73.1639,60.0073,0.7758,76
WhatsApp Image 2026-03-13 at 17.04.48 (4).jpeg,ideal,False,False,111.1059,70.2204,111.1059,70.2204,0.7890,88
