arquivo,status_cliente,needs_equalization,requires_human_review,media_original,std_original,laplacian_original,clipped_black_original,clipped_white_original,issues_original,media_final,std_final,laplacian_final,clipped_black_final,clipped_white_final,issues_final,separabilidade_otsu,limiar_otsu,correcao_tentada,correcao_aceita,ganho_std,deslocamento_media
"ChatGPT Image 14 de mar. de 2026, 15_57_14 1.png",ideal,False,False,190.0800,58.0562,18.1547,0.0003,0.3103,estouro_branco,190.0800,58.0562,18.1547,0.0003,0.3103,estouro_branco,0.6504,150,False,,,
"ChatGPT Image 14 de mar. de 2026, 15_57_14 2.png",ideal,False,False,188.6455,55.6416,35.3711,0.0002,0.2658,estouro_branco,188.6455,55.6416,35.3711,0.0002,0.2658,estouro_branco,0.6927,164,False,,,
"ChatGPT Image 14 de mar. de 2026, 15_57_14 3.png",corrigida_automaticamente,True,False,192.3276,26.6216,14.4258,0.0000,0.0388,baixo_contraste,181.7400,34.4173,79.2418,0.0005,0.0140,baixo_contraste,0.6349,157,True,True,7.7958,10.5876
"ChatGPT Image 14 de mar. de 2026, 15_57_14 4.png",ideal,False,False,176.6802,59.5400,22.6533,0.0111,0.1078,,176.6802,59.5400,22.6533,0.0111,0.1078,,0.6618,130,False,,,
"ChatGPT Image 14 de mar. de 2026, 16_00_44 1.png",corrigida_automaticamente,True,False,52.2398,21.0165,22.8371,0.0087,0.0000,muito_escura; baixo_contraste,70.1819,26.5983,58.6990,0.0016,0.0000,muito_escura; baixo_contraste,0.7017,67,True,True,5.5818,17.9421
"ChatGPT Image 14 de mar. de 2026, 16_00_44 2.png",corrigida_automaticamente,True,False,210.5896,39.2443,14.6532,0.0000,0.2994,muito_clara; baixo_contraste; estouro_branco,195.6650,52.5231,75.4620,0.0000,0.2602,estouro_branco,0.7114,179,True,True,13.2788,14.9246
"ChatGPT Image 14 de mar. de 2026, 16_00_44 3.png",corrigida_automaticamente,True,False,54.3404,16.2982,35.9904,0.0085,0.0008,muito_escura; baixo_contraste,73.0676,22.3832,114.7251,0.0022,0.0008,muito_escura; baixo_contraste,0.5497,69,True,True,6.0850,18.7271
"ChatGPT Image 14 de mar. de 2026, 16_00_44 4.png",corrigida_automaticamente,True,False,207.4180,38.9449,9.4679,0.0000,0.1845,muito_clara; baixo_contraste; baixa_nitidez,192.9384,49.8961,41.9101,0.0000,0.1324,,0.7073,167,True,True,10.9512,14.4796
"ChatGPT Image 14 de mar. de 2026, 16_10_15 1.png",corrigida_automaticamente,True,False,54.8983,47.1137,16.0673,0.0709,0.0101,muito_escura,73.8552,52.8973,47.4785,0.0419,0.0114,muito_escura,0.6986,96,True,True,5.7836,18.9569
"ChatGPT Image 14 de mar. de 2026, 16_10_15 2.png",corrigida_automaticamente,True,False,43.0374,27.9481,19.4813,0.1520,0.0000,muito_escura; baixo_contraste,69.3472,47.0851,56.1700,0.0187,0.0000,muito_escura,0.7235,80,True,True,19.1371,26.3098
